EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 3,Shara Magomedov,0,24 of 30,80%,94 of 107,0 of 0,---,0,0,0:00,19 of 25,3 of 3,2 of 2,4 of 5,8 of 12,12 of 13
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 1,Bruno Silva,0,28 of 42,66%,28 of 42,0 of 1,0%,0,0,0:00,20 of 33,3 of 4,5 of 5,27 of 41,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 2,Bruno Silva,0,26 of 36,72%,44 of 56,1 of 2,50%,0,0,2:25,20 of 30,3 of 3,3 of 3,8 of 15,3 of 3,15 of 18
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 3,Bruno Silva,0,11 of 13,84%,35 of 40,2 of 4,50%,0,0,4:19,11 of 13,0 of 0,0 of 0,0 of 0,1 of 1,10 of 12
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 1,Max Holloway,0,34 of 55,61%,34 of 55,0 of 0,---,0,0,0:00,12 of 28,14 of 15,8 of 12,34 of 55,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 2,Max Holloway,1,36 of 62,58%,36 of 62,0 of 0,---,1,0,0:54,18 of 40,16 of 18,2 of 4,33 of 59,0 of 0,3 of 3
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 3,Max Holloway,1,5 of 11,45%,5 of 11,0 of 0,---,0,0,0:03,4 of 9,1 of 2,0 of 0,4 of 10,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 1,Chan Sung Jung,0,15 of 50,30%,15 of 51,0 of 1,0%,0,0,0:00,9 of 40,4 of 5,2 of 5,15 of 50,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 2,Chan Sung Jung,0,16 of 57,28%,17 of 58,0 of 0,---,0,0,0:15,13 of 53,2 of 3,1 of 1,16 of 57,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Round 3,Chan Sung Jung,0,3 of 17,17%,3 of 17,0 of 0,---,0,0,0:00,3 of 17,0 of 0,0 of 0,3 of 15,0 of 2,0 of 0
